date,count,day_of_week,Public Holiday
2022-01-24,3906,Monday,Working Day
2022-01-25,3844,Tuesday,Working Day
2022-01-26,3951,Wednesday,Republic Day
2022-01-27,3634,Thursday,Working Day
2022-01-28,3635,Friday,Working Day
2022-01-29,3599,Saturday,Working Day
2022-01-30,1329,Sunday,Working Day
2022-01-31,3762,Monday,Working Day
2022-02-01,3509,Tuesday,Working Day
2022-02-02,3644,Wednesday,Working Day
2022-02-03,3786,Thursday,Working Day
2022-02-04,3555,Friday,Working Day
2022-02-05,3648,Saturday,Working Day
2022-02-06,1396,Sunday,Working Day
2022-02-07,4002,Monday,Working Day
2022-02-08,4111,Tuesday,Working Day
2022-02-09,3797,Wednesday,Working Day
2022-02-10,3814,Thursday,Working Day
2022-02-11,3388,Friday,Working Day
2022-02-12,3952,Saturday,Working Day
2022-02-13,1742,Sunday,Working Day
2022-02-14,3923,Monday,Working Day
2022-02-15,4231,Tuesday,Working Day
2022-02-16,3862,Wednesday,Working Day
2022-02-17,3841,Thursday,Working Day
2022-02-18,3999,Friday,Working Day
2022-02-19,3952,Saturday,Working Day
2022-02-20,1484,Sunday,Working Day
2022-02-21,4825,Monday,Working Day
2022-02-22,4167,Tuesday,Working Day
2022-02-23,4431,Wednesday,Working Day
2022-02-24,4421,Thursday,Working Day
2022-02-25,4116,Friday,Working Day
2022-02-26,4311,Saturday,Working Day
2022-02-27,1706,Sunday,Working Day
2022-02-28,4444,Monday,Working Day
2022-03-01,3658,Tuesday,Working Day
2022-03-02,3973,Wednesday,Working Day
2022-03-03,4380,Thursday,Working Day
2022-03-04,4067,Friday,Working Day
2022-03-05,4242,Saturday,Working Day
2022-03-06,1906,Sunday,Working Day
2022-03-07,4792,Monday,Working Day
2022-03-08,4957,Tuesday,Working Day
2022-03-09,4909,Wednesday,Working Day
2022-03-10,4538,Thursday,Working Day
2022-03-11,4481,Friday,Working Day
2022-03-12,4560,Saturday,Working Day
2022-03-13,1796,Sunday,Working Day
2022-03-14,4498,Monday,Working Day
2022-03-15,4874,Tuesday,Working Day
2022-03-16,4601,Wednesday,Working Day
2022-03-17,4429,Thursday,Working Day
2022-03-18,4046,Friday,Working Day
2022-03-19,4540,Saturday,Working Day
2022-03-20,1824,Sunday,Working Day
2022-03-21,4605,Monday,Working Day
2022-03-22,5059,Tuesday,Working Day
2022-03-23,4920,Wednesday,Working Day
2022-03-24,4955,Thursday,Working Day
2022-03-25,4421,Friday,Working Day
2022-03-26,4326,Saturday,Working Day
2022-03-27,1891,Sunday,Working Day
2022-03-28,4207,Monday,Working Day
2022-03-29,3895,Tuesday,Working Day
2022-03-30,4451,Wednesday,Working Day
2022-03-31,4420,Thursday,Working Day
2022-04-01,4057,Friday,*Annual closing of Accounts for Commercial Banks & Co-operative Banks
2022-04-02,4690,Saturday,Telugu New Year's Day
2022-04-03,1783,Sunday,Working Day
2022-04-04,4375,Monday,Working Day
2022-04-05,4327,Tuesday,Working Day
2022-04-06,3999,Wednesday,Working Day
2022-04-07,4462,Thursday,Working Day
2022-04-08,4134,Friday,Working Day
2022-04-09,4390,Saturday,Working Day
2022-04-10,1742,Sunday,Working Day
2022-04-11,4442,Monday,Working Day
2022-04-12,4080,Tuesday,Working Day
2022-04-13,3959,Wednesday,Working Day
2022-04-14,2942,Thursday,Tamil New Year's Day / Dr. B.R. Ambedkar's Birthday / Mahaveer Jayanthi
2022-04-15,3984,Friday,Good Friday
2022-04-16,2730,Saturday,Working Day
2022-04-17,1545,Sunday,Working Day
2022-04-18,4645,Monday,Working Day
2022-04-19,4833,Tuesday,Working Day
2022-04-20,4714,Wednesday,Working Day
2022-04-21,4614,Thursday,Working Day
2022-04-22,4287,Friday,Working Day
2022-04-23,4184,Saturday,Working Day
2022-04-24,1956,Sunday,Working Day
2022-04-25,4606,Monday,Working Day
2022-04-26,4722,Tuesday,Working Day
2022-04-27,4768,Wednesday,Working Day
2022-04-28,4364,Thursday,Working Day
2022-04-29,3839,Friday,Working Day
2022-04-30,3702,Saturday,Working Day
2022-05-01,1751,Sunday,May Day
2022-05-02,4331,Monday,Working Day
2022-05-03,4389,Tuesday,Ramzan (Idul Fitr)
2022-05-04,4334,Wednesday,Working Day
2022-05-05,4694,Thursday,Working Day
2022-05-06,4350,Friday,Working Day
2022-05-07,4223,Saturday,Working Day
2022-05-08,1878,Sunday,Working Day
2022-05-09,4615,Monday,Working Day
2022-05-10,4555,Tuesday,Working Day
2022-05-11,4544,Wednesday,Working Day
2022-05-12,4377,Thursday,Working Day
2022-05-13,3960,Friday,Working Day
2022-05-14,4360,Saturday,Working Day
2022-05-15,1724,Sunday,Working Day
2022-05-16,4843,Monday,Working Day
2022-05-17,4829,Tuesday,Working Day
2022-05-18,4845,Wednesday,Working Day
2022-05-19,4744,Thursday,Working Day
2022-05-20,4368,Friday,Working Day
2022-05-21,4372,Saturday,Working Day
2022-05-22,1818,Sunday,Working Day
2022-05-23,5125,Monday,Working Day
2022-05-24,4919,Tuesday,Working Day
2022-05-25,4760,Wednesday,Working Day
2022-05-26,4853,Thursday,Working Day
2022-05-27,4511,Friday,Working Day
2022-05-28,4361,Saturday,Working Day
2022-05-29,1948,Sunday,Working Day
2022-05-30,4561,Monday,Working Day
2022-05-31,4240,Tuesday,Working Day
2022-06-01,3947,Wednesday,Working Day
2022-06-02,4516,Thursday,Working Day
2022-06-03,3900,Friday,Working Day
2022-06-04,4067,Saturday,Working Day
2022-06-05,1550,Sunday,Working Day
2022-06-06,5059,Monday,Working Day
2022-06-07,4899,Tuesday,Working Day
2022-06-08,4620,Wednesday,Working Day
2022-06-09,4198,Thursday,Working Day
2022-06-10,4109,Friday,Working Day
2022-06-11,4445,Saturday,Working Day
2022-06-12,1902,Sunday,Working Day
2022-06-13,4134,Monday,Working Day
2022-06-14,4767,Tuesday,Working Day
2022-06-15,4804,Wednesday,Working Day
2022-06-16,4879,Thursday,Working Day
2022-06-17,4426,Friday,Working Day
2022-06-18,4763,Saturday,Working Day
2022-06-19,1861,Sunday,Working Day
2022-06-20,4940,Monday,Working Day
2022-06-21,4931,Tuesday,Working Day
2022-06-22,4813,Wednesday,Working Day
2022-06-23,4799,Thursday,Working Day
2022-06-24,4585,Friday,Working Day
2022-06-25,4948,Saturday,Working Day
2022-06-26,1871,Sunday,Working Day
2022-06-27,4679,Monday,Working Day
2022-06-28,4676,Tuesday,Working Day
2022-06-29,4667,Wednesday,Working Day
2022-06-30,4649,Thursday,Working Day
2022-07-01,4344,Friday,Working Day
2022-07-02,4815,Saturday,Working Day
2022-07-03,1911,Sunday,Working Day
2022-07-04,4938,Monday,Working Day
2022-07-05,4752,Tuesday,Working Day
2022-07-06,4835,Wednesday,Working Day
2022-07-07,4736,Thursday,Working Day
2022-07-08,4496,Friday,Working Day
2022-07-09,5079,Saturday,Working Day
2022-07-10,1591,Sunday,Bakrid (Idul Azha)
2022-07-11,4693,Monday,Working Day
2022-07-12,4844,Tuesday,Working Day
2022-07-13,4598,Wednesday,Working Day
2022-07-14,4761,Thursday,Working Day
