date,count
2023-09-05,4730
2023-09-06,5317
2023-09-07,4315
2023-09-08,4251
2023-09-09,4582
2023-09-10,1809
2023-09-11,4425
2023-09-12,4739
2023-09-13,4549
2023-09-14,4124
2023-09-15,3933
2023-09-16,4218
2023-09-17,1688
2023-09-18,3817
2023-09-19,4307
2023-09-20,4311
2023-09-21,4431
2023-09-22,4294
2023-09-23,4409
2023-09-24,1856
2023-09-25,4843
2023-09-26,4517
2023-09-27,4374
2023-09-28,5975
2023-09-29,5166
2023-09-30,4849
2023-10-01,1844
2023-10-02,5601
2023-10-03,4579
2023-10-04,4485
2023-10-05,4426
2023-10-06,3917
2023-10-07,4262
2023-10-08,1710
2023-10-09,4489
2023-10-10,4535
2023-10-11,4588
2023-10-12,4448
2023-10-13,4124
2023-10-14,4232
2023-10-15,1621
2023-10-16,4538
2023-10-17,4410
2023-10-18,3998
2023-10-19,3999
2023-10-20,3664
2023-10-21,4157
2023-10-22,1562
2023-10-23,3753
2023-10-24,4104
2023-10-25,3856
2023-10-26,4093
2023-10-27,3767
2023-10-28,4167
2023-10-29,1596
2023-10-30,3467
2023-10-31,4007
2023-11-01,3604
2023-11-02,3787
2023-11-03,3631
2023-11-04,3724
2023-11-05,1422
2023-11-06,3845
2023-11-07,3518
2023-11-08,3161
2023-11-09,2945
2023-11-10,2548
2023-11-11,2148
2023-11-12,1396
2023-11-13,3470
2023-11-14,4154
2023-11-15,4438
2023-11-16,4365
2023-11-17,4449
2023-11-18,4092
2023-11-19,1756
2023-11-20,4619
2023-11-21,4797
2023-11-22,4630
2023-11-23,3939
2023-11-24,3929
2023-11-25,4388
2023-11-26,1548
2023-11-27,4198
2023-11-28,4368
2023-11-29,4191
2023-11-30,4143
2023-12-01,3918
2023-12-02,4294
2023-12-03,1686
2023-12-04,4782
2023-12-05,4325
2023-12-06,4480
2023-12-07,4221
2023-12-08,4087
2023-12-09,4705
2023-12-10,1549
2023-12-11,4398
2023-12-12,4470
2023-12-13,4130
2023-12-14,4016
2023-12-15,4083
2023-12-16,4318
2023-12-17,1486
2023-12-18,3613
2023-12-19,3668
2023-12-20,3916
2023-12-21,3702
2023-12-22,3587
2023-12-23,4221
2023-12-24,1709
2023-12-25,4572
2023-12-26,4909
2023-12-27,5060
2023-12-28,5012
2023-12-29,4678
2023-12-30,4472
2023-12-31,1399
2024-01-01,2373
2024-01-02,4032
2024-01-03,4116
2024-01-04,4115
2024-01-05,3926
2024-01-06,4129
2024-01-07,1340
2024-01-08,4298
2024-01-09,3786
2024-01-10,3425
2024-01-11,3463
2024-01-12,3189
2024-01-13,3410
2024-01-14,1307
2024-01-15,1442
2024-01-16,3261
2024-01-17,3913
2024-01-18,4181
2024-01-19,4114
2024-01-20,4154
2024-01-21,1609
2024-01-22,4407
2024-01-23,4573
2024-01-24,4065
2024-01-25,4627
2024-01-26,4702
2024-01-27,4453
2024-01-28,1625
2024-01-29,4690
2024-01-30,4879
2024-01-31,4574
2024-02-01,4150
2024-02-02,3957
2024-02-03,4405
2024-02-04,1794
2024-02-05,4841
2024-02-06,4815
2024-02-07,4366
2024-02-08,3996
2024-02-09,3410
2024-02-10,4191
2024-02-11,1559
2024-02-12,4582
2024-02-13,4541
2024-02-14,4397
2024-02-15,4132
2024-02-16,3931
2024-02-17,4815
2024-02-18,1416
2024-02-19,4526
2024-02-20,4568
2024-02-21,3938
2024-02-22,4120
2024-02-23,3914
2024-02-24,4302
2024-02-25,1720
2024-02-26,4494
2024-02-27,4550
2024-02-28,4630
2024-02-29,4448
2024-03-01,4166
2024-03-02,4503
2024-03-03,1723
2024-03-04,4465
2024-03-05,4845
2024-03-06,4613
2024-03-07,4190
2024-03-08,3511
2024-03-09,4072
2024-03-10,1744
2024-03-11,4419
2024-03-12,4226
2024-03-13,4275
2024-03-14,3966
2024-03-15,3692
2024-03-16,3915
2024-03-17,1679
2024-03-18,4584
2024-03-19,4905
2024-03-20,4503
2024-03-21,4673
2024-03-22,4128
2024-03-23,4186
2024-03-24,1413
2024-03-25,4052
2024-03-26,4372
2024-03-27,4298
2024-03-28,4346
2024-03-29,4801
2024-03-30,4062
2024-03-31,1659
2024-04-01,4172
2024-04-02,4207
2024-04-03,4199
2024-04-04,3944
2024-04-05,3806
2024-04-06,3751
2024-04-07,1338
2024-04-08,4247
2024-04-09,4628
2024-04-10,4045
2024-04-11,4236
2024-04-12,4125
2024-04-13,3858
2024-04-14,1326
2024-04-15,4511
2024-04-16,4550
2024-04-17,4280
2024-04-18,3866
2024-04-19,2524
2024-04-20,4279
